epsilon,thermo_mse_Temp,thermo_mse_Press,thermo_mse_PE,thermo_mse_KE,thermo_mse_Vol,thermo_mse_Dens,rdf_mse_CC,rdf_mse_CO,rdf_mse_OO,rdf_corr_CC,rdf_corr_CO,rdf_corr_OO
0.55,5.751937387999993,100019.24740502523,47608.16722670034,741.3697482999999,195707.00663000002,4.8484456099999645e-05,19.717573155749744,1.7440824784976152,0.6965070667033646,0.6790230841171608,-0.04322957207308292,0.26951316645217893
0.6,5.7825258610000185,103110.23558548902,98186.85802320048,743.3995573000004,142985.59799999994,7.089396849999907e-05,19.44081077663339,2.990517876001067,1.1008032329339357,0.6858170734057014,-0.09810657829530661,0.24078077621067173
0.65,5.9904351190000105,106723.49455709495,157493.72244309884,769.2809777999997,90053.40279000002,0.00010956568299999869,19.701555265865725,4.6162408317882315,1.7647042559919925,0.693110331082337,-0.13265390414041134,0.2181455674676727
0.7,5.6815330130000055,100942.85069614288,258739.5141355993,729.5782515999999,101789.90780999996,0.00013040927059999841,20.724780839714313,6.442593276243302,2.6132598605389985,0.6956576105363902,-0.1603159489619929,0.20244690570966614
0.75,6.1481293739999945,105604.28381875911,371445.101619699,793.2002223999998,108220.22680999998,0.00020588459679999789,20.467076822100903,8.411306005477911,3.4832012189988495,0.7119470083858513,-0.16633942574913396,0.19242625724164789
0.8,5.715667238999984,104762.43738947848,540197.5550562012,732.2215883999994,108288.93710000002,0.00022077589379999743,20.671741645435336,10.56602074533077,4.338197428103395,0.7230568871868353,-0.17141327379285246,0.18537582312474057
0.85,5.6786864919999855,105184.79904614788,723727.8684795018,727.2808239999996,172412.59879,0.00031070323789999686,20.47191868033541,12.905046990773114,5.340043752905829,0.7361832397748391,-0.1654212775062504,0.17932859501827317
0.9,5.648335529999987,112286.21152467588,928275.713663103,718.1109792000001,252705.87945,0.00039580907349999597,21.331605369818938,15.415587976097191,6.376827791982012,0.7455659239287071,-0.1722978666847233,0.17443133049257525
0.95,5.703102602999981,114354.83365218596,1177983.9217141974,731.4764805000001,306950.18358000007,0.00045253980400000433,21.96347651357838,17.725698192971482,7.564231947175969,0.7549751688434319,-0.17161905615783143,0.1700179474187598
1.05,6.034338891999974,107965.16265837791,1748325.1930511042,770.2275141999999,499097.88271000003,0.0006098574772000044,23.57253664076484,21.98723828523418,9.803499700052742,0.7684932428386888,-0.16873641511323217,0.16364394691291226
1.1,6.136708909999987,115211.26267594442,2103951.2376408,778.7170715999997,648520.7933499999,0.0007210313822000047,24.397362589834746,23.44115455864715,10.802979139794216,0.7739960913803292,-0.16280637276521517,0.1614207044608927
