TIP5P System - No Bonds/Angles (for rigid/small)

496 atoms

5 atom types

-20.0 20.0 xlo xhi
-20.0 20.0 ylo yhi
-20.0 20.0 zlo zhi

Masses

1 28.0855
2 12.0107
3 15.9994
4 1.008
5 0.0001

Atoms  # full

115 24 5 -0.241 7.784482 -3.949440 -8.274017
116 24 5 -0.241 7.459202 -3.966112 -7.475704
117 25 3 0.000 -0.983814 2.706854 6.827021
118 25 4 0.241 -0.893877 3.546461 7.282617
119 25 4 0.241 -1.113370 2.065792 7.529054
120 25 5 -0.241 -0.902823 3.034338 6.213044
121 25 5 -0.241 -1.027573 2.192787 6.353109
122 26 3 0.000 9.527391 -3.960721 0.967975
123 26 4 0.241 9.826835 -4.201049 0.088673
124 26 4 0.241 9.928011 -4.614523 1.544726
125 26 5 -0.241 9.169695 -3.423088 0.696356
126 26 5 -0.241 9.227199 -3.658090 1.523917
127 27 3 0.000 -1.122078 2.488209 -9.952844
128 27 4 0.241 -0.516098 1.752356 -9.843737
129 27 4 0.241 -0.912196 3.081112 -9.228268
130 27 5 -0.241 -1.392870 2.177773 -10.519478
131 27 5 -0.241 -1.617996 2.932983 -10.169670
132 28 3 0.000 1.269165 6.150952 2.479976
133 28 4 0.241 1.275682 5.231641 2.205349
134 28 4 0.241 1.775341 6.161306 3.295007
135 28 5 -0.241 0.886269 6.313859 1.916395
136 28 5 -0.241 1.170254 6.842242 2.535711
137 29 3 0.000 2.635680 -4.115398 -0.929447
138 29 4 0.241 2.659487 -3.840620 -1.848428
139 29 4 0.241 2.457991 -5.057591 -0.965439
140 29 5 -0.241 2.765246 -3.455957 -0.731654
141 29 5 -0.241 2.650724 -4.147634 -0.229799
142 30 3 0.000 9.659202 2.256930 -7.192622
143 30 4 0.241 9.152826 2.176940 -8.003659
144 30 4 0.241 9.020958 2.095731 -6.494585
145 30 5 -0.241 10.234507 2.393338 -7.568373
146 30 5 -0.241 10.159559 2.347182 -6.710678
147 31 3 0.000 -8.707685 3.121745 5.920732
148 31 4 0.241 -8.162915 3.639675 5.324436
149 31 4 0.241 -8.804743 2.274163 5.481664
150 31 5 -0.241 -8.735660 3.664691 6.362545
151 31 5 -0.241 -9.100448 2.888590 6.451908
152 32 3 0.000 -3.722404 -5.217236 -9.541652
153 32 4 0.241 -3.654922 -6.172847 -9.595032
154 32 4 0.241 -4.651222 -5.051854 -9.366890
155 32 5 -0.241 -3.034554 -5.164488 -9.663520
156 32 5 -0.241 -3.600810 -4.527362 -9.533853
157 33 3 0.000 3.531566 -4.041706 -3.097694
158 33 4 0.241 4.422311 -3.974714 -2.747434
159 33 4 0.241 3.034535 -4.483428 -2.406002
160 33 5 -0.241 3.740947 -3.721062 -3.684311
161 33 5 -0.241 2.952192 -4.010194 -3.490255
162 34 3 0.000 -2.629817 -0.973057 -8.273965
163 34 4 0.241 -2.426516 -1.763302 -8.778720
164 34 4 0.241 -1.802490 -0.742229 -7.846363
165 34 5 -0.241 -3.291422 -1.000367 -8.502669
166 34 5 -0.241 -2.936751 -0.420032 -7.972756
167 35 3 0.000 -1.279580 5.201254 9.083142
168 35 4 0.241 -1.789717 4.670643 8.467668
169 35 4 0.241 -0.627815 4.594256 9.440004
170 35 5 -0.241 -1.676316 5.757499 8.928340
171 35 5 -0.241 -1.015939 5.714084 9.480975
172 36 3 0.000 9.100561 -5.118109 6.486049
173 36 4 0.241 9.845181 -5.718830 6.558656
174 36 4 0.241 9.313617 -4.398769 7.084173
175 36 5 -0.241 8.801630 -5.548980 6.021546
176 36 5 -0.241 8.499511 -4.798712 6.320228
177 37 3 0.000 7.783157 5.562465 -0.143803
178 37 4 0.241 8.397931 5.467609 -0.874318
179 37 4 0.241 6.927152 5.671121 -0.563381
180 37 5 -0.241 8.314472 5.498148 0.308237
181 37 5 -0.241 7.478542 5.613815 0.484961
182 38 3 0.000 -2.707972 -3.143455 9.752293
183 38 4 0.241 -1.802589 -3.347775 9.509124
184 38 4 0.241 -2.629207 -2.442139 10.402330
185 38 5 -0.241 -2.935494 -3.634345 9.307284
186 38 5 -0.241 -3.405309 -3.119619 9.814945
187 39 3 0.000 -4.581200 3.748248 -9.259900
188 39 4 0.241 -5.305461 3.119002 -9.250379
189 39 4 0.241 -4.141090 3.620030 -8.417013
190 39 5 -0.241 -4.778574 3.961782 -9.897253
191 39 5 -0.241 -4.116794 4.246546 -9.423602
192 40 3 0.000 -3.406247 6.163855 -6.914804
193 40 4 0.241 -3.516370 6.803458 -7.621471
194 40 4 0.241 -4.201193 6.252735 -6.384939
195 40 5 -0.241 -2.786362 5.978062 -7.183125
196 40 5 -0.241 -3.175588 5.665054 -6.480332
197 41 3 0.000 -5.508851 1.235166 -7.742922
198 41 4 0.241 -5.526334 1.273485 -8.701474
199 41 4 0.241 -5.238950 2.115342 -7.472662
200 41 5 -0.241 -5.709125 0.564348 -7.768711
201 41 5 -0.241 -5.545787 1.042824 -7.070306
202 42 3 0.000 2.746754 1.908292 -8.757440
203 42 4 0.241 3.174060 1.259167 -9.320149
204 42 4 0.241 2.483620 1.414047 -7.978287
205 42 5 -0.241 2.865821 2.401522 -9.240471
206 42 5 -0.241 2.473404 2.489550 -8.477812
207 43 3 0.000 -7.582145 1.595430 2.005842
208 43 4 0.241 -6.888549 0.946701 1.869198
209 43 4 0.241 -7.218144 2.202855 2.653248
210 43 5 -0.241 -7.985422 1.257865 1.543035
211 43 5 -0.241 -8.172750 1.971811 1.988657
212 44 3 0.000 -5.714420 8.679749 -6.784485
213 44 4 0.241 -6.271216 8.592515 -7.560993
214 44 4 0.241 -6.310453 8.541852 -6.045347
215 44 5 -0.241 -5.161581 8.799930 -7.197641
216 44 5 -0.241 -5.183882 8.771136 -6.336210
217 45 3 0.000 -5.009186 -7.497545 3.587783
218 45 4 0.241 -5.606672 -7.071610 2.969571
219 45 4 0.241 -5.568943 -8.092683 4.090854
220 45 5 -0.241 -4.476146 -7.127873 3.323240
221 45 5 -0.241 -4.454703 -7.708209 3.960531
222 46 3 0.000 5.546958 -3.347765 -8.642331
223 46 4 0.241 4.740766 -3.139851 -9.119220
224 46 4 0.241 5.592997 -2.685905 -7.949209
225 46 5 -0.241 5.661950 -3.885454 -9.076426
226 46 5 -0.241 6.146322 -3.627450 -8.411441
227 47 3 0.000 6.047633 -6.659571 5.817823
228 47 4 0.241 5.425591 -6.459389 5.115265
229 47 4 0.241 5.757595 -6.119522 6.555943
230 47 5 -0.241 6.381850 -7.103971 5.391702
231 47 5 -0.241 6.570547 -6.910805 6.210524
232 48 3 0.000 -1.574487 -5.781564 -7.343270
233 48 4 0.241 -0.860588 -6.062005 -7.919723
234 48 4 0.241 -1.498724 -6.349837 -6.573906
235 48 5 -0.241 -1.764185 -5.300976 -7.816369
236 48 5 -0.241 -2.126876 -5.464568 -7.051462
237 49 3 0.000 5.070116 2.481662 -2.184021
238 49 4 0.241 5.299585 2.879456 -3.026457
239 49 4 0.241 5.265056 3.162290 -1.536456
240 49 5 -0.241 4.880508 1.894560 -2.515882
241 49 5 -0.241 4.860883 2.055311 -1.669027
242 50 3 0.000 -2.755696 -4.328452 -7.613392
243 50 4 0.241 -2.300496 -3.941909 -8.364374
244 50 4 0.241 -2.330650 -3.936508 -6.847683
245 50 5 -0.241 -3.160735 -4.695781 -8.051325
246 50 5 -0.241 -3.177874 -4.692711 -7.189301
247 51 3 0.000 -3.310763 1.368503 3.902361
248 51 4 0.241 -3.740329 1.997975 3.319407
249 51 4 0.241 -3.129803 1.867023 4.701941
