TIP4P/2005 Water + Nanoparticle System
# Generated for LAMMPS with molecule template and SHAKE

220 atoms

5 atom types  # NP types + O,H,M

-7.211248 7.211248 xlo xhi
-7.211248 7.211248 ylo yhi
-7.211248 7.211248 zlo zhi

Masses

1 28.0855  # NP
2 12.0107  # NP
3 15.9994  # O (water)
4 1.0080  # H (water)
5 0.0000  # M (virtual site)

Atoms  # full

98 24 4 0.556400 -3.957448 1.252750 3.681364
99 24 4 0.556400 -3.490826 0.601712 2.396721
100 24 5 -1.112800 -3.699500 1.314846 2.851554
101 25 3 0.000000 -1.828934 5.847749 2.776602
102 25 4 0.556400 -2.344906 6.652120 2.721904
103 25 4 0.556400 -2.120345 5.324463 2.029954
104 25 5 -1.112800 -1.935458 5.884834 2.670874
105 26 3 0.000000 4.361296 -3.208121 2.750953
106 26 4 0.556400 3.429463 -3.385819 2.878792
107 26 4 0.556400 4.386115 -2.349734 2.328119
108 26 5 -1.112800 4.241626 -3.118312 2.712032
109 27 3 0.000000 -0.686714 -3.111034 2.063541
110 27 4 0.556400 -0.281824 -2.573260 2.744052
111 27 4 0.556400 -1.581466 -2.777919 1.995092
112 27 5 -1.112800 -0.751345 -2.996131 2.144295
113 28 3 0.000000 -3.489311 3.912749 1.494022
114 28 4 0.556400 -3.207445 3.397855 2.250109
115 28 4 0.556400 -4.392230 4.159181 1.694625
116 28 5 -1.112800 -3.571251 3.877328 1.620246
117 29 3 0.000000 6.175142 -1.429341 1.453387
118 29 4 0.556400 5.907524 -2.339562 1.326462
119 29 4 0.556400 6.362804 -1.362698 2.389642
120 29 5 -1.112800 6.164593 -1.540641 1.560168
121 30 3 0.000000 1.957501 -3.695960 1.425831
122 30 4 0.556400 2.648722 -3.081618 1.672872
123 30 4 0.556400 1.252969 -3.142007 1.089673
124 30 5 -1.112800 1.955745 -3.541818 1.414073
125 31 3 0.000000 5.639610 5.410714 1.197995
126 31 4 0.556400 5.896959 4.643092 0.687348
127 31 4 0.556400 6.316804 6.061012 1.011580
128 31 5 -1.112800 5.762911 5.395234 1.106026
129 32 3 0.000000 -0.127095 6.979605 1.074321
130 32 4 0.556400 0.051554 6.052343 0.917790
131 32 4 0.556400 -1.062527 7.013330 1.274470
132 32 5 -1.112800 -0.226943 6.861713 1.080076
133 33 3 0.000000 7.364479 1.953712 0.993246
134 33 4 0.556400 7.492138 2.441327 1.806982
135 33 4 0.556400 6.667316 1.329429 1.194408
136 33 5 -1.112800 7.289340 1.935680 1.127149
137 34 3 0.000000 -3.535613 -0.845072 0.888380
138 34 4 0.556400 -4.276834 -0.258971 0.735706
139 34 4 0.556400 -3.729177 -1.619430 0.360047
140 34 5 -1.112800 -3.658947 -0.869910 0.798529
141 35 3 0.000000 2.510555 6.877799 0.789115
142 35 4 0.556400 2.641267 7.826030 0.791368
143 35 4 0.556400 3.382488 6.514977 0.945077
144 35 5 -1.112800 2.642841 6.955037 0.809990
145 36 3 0.000000 4.438082 -3.206977 0.071723
146 36 4 0.556400 5.189197 -3.786016 -0.057784
147 36 4 0.556400 4.319618 -3.176255 1.021067
148 36 5 -1.112800 4.521553 -3.279320 0.179890
149 37 3 0.000000 -2.164482 5.453634 -0.242500
150 37 4 0.556400 -2.568476 5.663819 -1.084428
151 37 4 0.556400 -1.832280 4.562573 -0.351511
152 37 5 -1.112800 -2.173954 5.363801 -0.367964
153 38 3 0.000000 -1.457285 -2.355387 -0.307132
154 38 4 0.556400 -1.914167 -2.219067 -1.137136
155 38 4 0.556400 -0.660071 -1.831066 -0.383085
156 38 5 -1.112800 -1.412382 -2.268224 -0.426662
157 39 3 0.000000 -3.363438 1.659989 -0.325112
158 39 4 0.556400 -2.689829 1.152555 -0.777874
159 39 4 0.556400 -4.158467 1.515012 -0.838086
160 39 5 -1.112800 -3.379458 1.573911 -0.452529
161 40 3 0.000000 6.306892 0.116992 -0.606645
162 40 4 0.556400 6.720561 -0.431768 -1.272957
163 40 4 0.556400 5.608114 0.575450 -1.073290
164 40 5 -1.112800 6.269275 0.105078 -0.756125
165 41 3 0.000000 5.845291 3.767959 -0.751191
166 41 4 0.556400 5.482322 3.788160 -1.636672
167 41 4 0.556400 6.246955 2.902357 -0.676160
168 41 5 -1.112800 5.850396 3.656419 -0.858120
169 42 3 0.000000 4.157748 5.889758 -0.935933
170 42 4 0.556400 4.072394 6.774257 -1.291753
171 42 4 0.556400 4.920314 5.935642 -0.359201
172 42 5 -1.112800 4.247098 6.012511 -0.906786
173 43 3 0.000000 0.975753 -2.914237 -0.873612
174 43 4 0.556400 1.368906 -2.223163 -1.406604
175 43 4 0.556400 0.525384 -2.447498 -0.169656
176 43 5 -1.112800 0.968204 -2.761478 -0.851056
177 44 3 0.000000 1.086254 6.422075 -1.449531
178 44 4 0.556400 1.769080 7.091171 -1.497394
179 44 4 0.556400 1.403459 5.714860 -2.011188
180 44 5 -1.112800 1.218196 6.417046 -1.529949
181 45 3 0.000000 -2.305761 -0.314056 -1.619678
182 45 4 0.556400 -2.760135 -0.332713 -0.777403
183 45 4 0.556400 -2.607434 0.492686 -2.037281
184 45 5 -1.112800 -2.405512 -0.210078 -1.563648
185 46 3 0.000000 4.638620 -1.257460 -1.941955
186 46 4 0.556400 4.458263 -0.853301 -1.093215
187 46 4 0.556400 4.274035 -0.645605 -2.581441
188 46 5 -1.112800 4.566722 -1.123409 -1.914346
189 47 3 0.000000 -2.186921 3.137541 -2.061721
190 47 4 0.556400 -2.922177 3.653215 -1.730495
191 47 4 0.556400 -2.427779 2.229806 -1.876688
192 47 5 -1.112800 -2.315708 3.085813 -1.993607
193 48 3 0.000000 5.402005 2.009719 -2.725422
194 48 4 0.556400 6.092330 1.353597 -2.821267
195 48 4 0.556400 5.684905 2.549672 -1.987417
196 48 5 -1.112800 5.530410 1.994392 -2.640697
197 49 3 0.000000 0.028885 -1.212748 -2.480037
198 49 4 0.556400 -0.582777 -0.903479 -3.148209
199 49 4 0.556400 0.304649 -0.419150 -2.021357
200 49 5 -1.112800 -0.015432 -1.067238 -2.507677
201 50 3 0.000000 3.116460 4.537016 -2.983629
202 50 4 0.556400 3.035446 5.461472 -3.218257
203 50 4 0.556400 2.834324 4.495712 -2.069886
204 50 5 -1.112800 3.068547 4.653537 -2.894028
205 51 3 0.000000 0.369647 3.806222 -2.998910
206 51 4 0.556400 0.660093 4.705591 -2.847223
207 51 4 0.556400 0.551095 3.353311 -2.175393
208 51 5 -1.112800 0.431908 3.865127 -2.870244
209 52 3 0.000000 2.533080 -0.811531 -3.370991
210 52 4 0.556400 3.062334 -0.051499 -3.129175
211 52 4 0.556400 2.208581 -0.608660 -4.248360
212 52 5 -1.112800 2.560095 -0.684488 -3.454844
213 53 3 0.000000 -0.742600 1.420787 -3.264471
214 53 4 0.556400 -1.470905 1.213319 -2.679013
215 53 4 0.556400 -0.697199 2.376905 -3.261543
216 53 5 -1.112800 -0.832701 1.519562 -3.186841
217 54 3 0.000000 2.400440 2.118579 -3.539985
218 54 4 0.556400 1.871657 1.354539 -3.769907
219 54 4 0.556400 3.253717 1.948815 -3.939148
220 54 5 -1.112800 2.443253 1.995375 -3.622985
