# C60 Fullerene with bonding topology
# Generated with proper C-C bonds (1.3-1.5 Å)
# Atom style: full (compatible with TIP4P water)

60 atoms
90 bonds
0 angles
0 dihedrals
0 impropers

1 atom types
1 bond types

-4.0 4.0 xlo xhi
-4.0 4.0 ylo yhi
-4.0 4.0 zlo zhi

Masses

1 12.011  # Carbon

Atoms # full

  54 1   31   42  # 1.388 Å
  55 1   32   47  # 1.388 Å
  56 1   33   34  # 1.388 Å
  57 1   33   35  # 1.388 Å
  58 1   34   36  # 1.390 Å
  59 1   34   38  # 1.387 Å
  60 1   36   37  # 1.387 Å
  61 1   37   40  # 1.390 Å
  62 1   38   39  # 1.390 Å
  63 1   39   40  # 1.392 Å
  64 1   39   58  # 1.390 Å
  65 1   40   43  # 1.388 Å
  66 1   41   42  # 1.393 Å
  67 1   41   44  # 1.393 Å
  68 1   41   47  # 1.388 Å
  69 1   42   43  # 1.391 Å
  70 1   43   57  # 1.388 Å
  71 1   44   48  # 1.393 Å
  72 1   44   60  # 1.389 Å
  73 1   45   46  # 1.387 Å
  74 1   45   48  # 1.391 Å
  75 1   45   51  # 1.391 Å
  76 1   46   47  # 1.385 Å
  77 1   48   52  # 1.387 Å
  78 1   49   50  # 1.392 Å
  79 1   49   52  # 1.392 Å
  80 1   49   55  # 1.387 Å
  81 1   50   51  # 1.386 Å
  82 1   52   56  # 1.388 Å
  83 1   53   54  # 1.390 Å
  84 1   53   56  # 1.393 Å
  85 1   53   59  # 1.393 Å
  86 1   54   55  # 1.386 Å
  87 1   56   60  # 1.389 Å
  88 1   57   58  # 1.392 Å
  89 1   57   60  # 1.384 Å
  90 1   58   59  # 1.388 Å
