epsilon,thermo_mse_Temp,thermo_mse_Press,thermo_mse_PE,thermo_mse_KE,thermo_mse_Vol,thermo_mse_Dens,rdf_mse_CC,rdf_mse_CO,rdf_mse_OO,rdf_corr_CC,rdf_corr_CO,rdf_corr_OO
0.55,5.677987074000002,51444.81619361692,73012.6297658995,734.2542569,196675.21682,3.988057989999955e-05,20.845977868425496,0.04527544613980654,0.3387785865357351,0.7181957056581668,0.9131756708693682,0.3500005159125971
0.6,5.404539133000002,59968.77832195375,138379.73781639978,710.5583820999998,125104.94572000003,5.937722409999903e-05,20.78235837138298,0.047293250061038315,0.3327197473820654,0.7205649862939573,0.9142668558576009,0.35731423905864057
0.65,5.6491203179999925,59044.36467898734,223872.85314790127,740.5119133999998,104886.71422999995,7.615835449999857e-05,20.560480152980226,0.04963818478301218,0.34027574328506693,0.7274944513879581,0.9151983377200513,0.346176857098257
0.7,5.404701820999997,57857.115990951024,302842.0204234992,712.8873755999999,85896.07385000003,0.0001007430629999995,20.32576976252328,0.054656221429132686,0.34150596872095706,0.7360739021448529,0.9031011575750362,0.3439200332100431
0.75,5.352090435,62369.56492999382,446192.89988630015,725.2466698000001,96901.30166000004,0.00014735725859999833,20.218691353866014,0.05876056627710798,0.35275673298619736,0.7448464509610685,0.8978530287208368,0.3317869553979002
0.8,5.950111910000003,64427.812026940104,629579.9787294002,804.4589641,122546.1580099999,0.00019329768629999762,20.561532545854973,0.0569948951779618,0.3896291052136324,0.7535977884395736,0.9008434792415294,0.2941155806468869
0.85,5.635821040999997,56987.25517764468,789167.2029346,738.0160768000002,151297.86575000006,0.00021908358499999825,20.559666969459382,0.06345572374701731,0.38196345645267626,0.7604736632699298,0.8889683183506433,0.29872833540005955
0.9,5.780054930999998,64376.86826650508,1064218.884913602,757.5715795000001,243969.30331,0.00032834236370000275,20.411317099056205,0.06772235590908679,0.3886022888084554,0.7720239313140798,0.8820695691490161,0.2924167391280389
0.95,5.37626046699999,64763.99406978614,1232417.9692109984,724.5865100999997,326532.11220000003,0.00037537702549999695,20.349790427100835,0.0725398858377872,0.4285962586900204,0.7820217231795558,0.8818320054905984,0.25466597838812055
1.05,5.629051516999997,66697.71418831535,1830653.1573482023,741.4869622,493744.4308700001,0.0004917413377999967,20.653330155916382,0.08570834207309605,0.39674773834887117,0.794049125221758,0.8569629013377347,0.2832934175311655
1.1,6.184195585000008,69016.92120063126,2348466.445660801,802.5478583999998,594098.41597,0.0006251518233999998,21.047259389893917,0.09591178862890759,0.49943263756579576,0.7995183173158479,0.8333452696465811,0.2040319727749308
