epsilon,Thermo_Temp_MSE,Thermo_Temp_Corr,Thermo_Press_MSE,Thermo_Press_Corr,Thermo_PE_MSE,Thermo_PE_Corr,Thermo_KE_MSE,Thermo_KE_Corr,Thermo_Vol_MSE,Thermo_Vol_Corr,Thermo_Dens_MSE,Thermo_Dens_Corr,RDF_CC_MSE,RDF_CC_Corr,RDF_CO_MSE,RDF_CO_Corr,RDF_OO_MSE,RDF_OO_Corr
0.05,16.734663266730053,0.003730760899143252,47000.490508812174,0.05061676899598548,5268.270680962751,0.024132488876596084,2087.828329335064,0.003722328474972026,118959.81416825739,0.0504507597406109,3.994022233000008e-05,0.050628693547920114,67.0525088228374,0.14767645516326208,0.06079338467026749,0.7904295424131795,0.27636398871798346,0.35652797097507616
0.1,16.93324621920994,-0.009826453935711334,50328.45332826778,0.016641140914292748,7061.804316205758,-0.03528813950937119,2112.421834539498,-0.009838445790605084,163019.0737609877,0.005695453284617887,5.5896039649999174e-05,0.00555440796016657,59.75564622914313,0.03494713780875841,0.060797207649421654,0.9049308468012641,0.2704107339279463,0.33850770162030935
0.15,13.069398774677314,0.03386920532315099,50093.118260816176,-0.021710764118397886,5547.465235644119,-0.06159063643130511,1630.0624337898769,0.03387044203237165,123441.75638263243,0.05598104404127501,4.296306435800047e-05,0.05649009367560622,58.12526659527744,-0.0034716193449427857,0.06543498106536985,0.8568363402231499,0.27288371163832775,0.35572548009697935
0.2,9.29934911451433,0.009416205787515088,65712.24844782802,-0.05966007078955592,3953.346641862933,-0.010862474031752984,1159.8655739930932,0.009428270211425257,114804.32462880919,0.025077269927276102,4.027359487800004e-05,0.025011262620387033,63.95437961227935,-0.10571616726395139,0.08153107603177062,0.807340423491087,0.2748080467235398,0.3472234921661548
0.25,7.976754207453585,-0.004355399796805639,71786.77725513802,0.004547923928021755,4019.456734306096,-0.013982804137370386,995.4175445672744,-0.004354759392699129,117729.90930884058,-0.0007693396958829015,4.1858952243999505e-05,-0.000687989859271717,62.033817176402906,-0.09088507424561439,0.0965528241055129,0.700052685224099,0.2801180862862533,0.34615497618541624
0.3,5.659189363725369,0.03283149723354341,126790.77117006079,-0.016308548733583377,6135.050608241124,0.030980222800487647,706.9591004751885,0.032826207594297156,170955.29536884106,-0.017030763707450155,6.150768447999987e-05,-0.016916227868332023,60.89075312540612,-0.09449995451505988,0.08141253560947474,0.8286412861859855,0.27821147118874856,0.3401786750982479
0.35,5.866001837161831,0.007160674472534966,148990.34258137012,0.016187941270829564,3960.710460698843,-0.03481206407316095,733.7400215101816,0.007148376889865952,128985.00200118944,0.006655304211289009,4.670355088999998e-05,0.006961097719404622,57.01521088143493,-0.13954613578510902,0.09166393069540214,0.715146705151973,0.2657250665068418,0.34848157333730234
0.4,6.771490440138811,-0.01227919979979645,56366.007397473615,0.06054551410896946,16136.08398156714,-0.018636464299701467,849.2058633603955,-0.012240021555486487,90088.18966318542,0.020570101377845703,3.286045900400002e-05,0.02018854579426582,55.85188969675901,-0.13854860252669868,0.08709238176049597,0.767289595791,0.2610972379688833,0.34319857136331944
0.45,5.962893817144603,0.024769758073562135,62540.32014395603,-0.004729600715707052,22073.17472498821,-0.004395873076353815,745.9670682313862,0.02477846326494438,99323.21485302901,0.044433979319136035,3.663835094399987e-05,0.04438657671773286,55.202524435675016,-0.11117188570881896,0.09220734088271501,0.7398683259333886,0.2615046161978412,0.34990213377101437
0.5,5.747192013337366,0.05842782262941384,59897.793045627266,0.020477504684623973,49802.090557883865,-0.004804454978211413,718.9325367385824,0.058424191376989586,146554.6591490341,-0.018316217862829418,5.4307026137999954e-05,-0.018517621090796,57.45444084531534,-0.13521981614145903,0.09891164835694025,0.7194960197203129,0.26640610287323646,0.3507865598686356
